ITERATION;avg. Average Leg distance;avg. Average Trip distance
131;4468.434808333333;4468.434808333333
132;4487.72237625;4487.72237625
133;4470.28650125;4470.28650125
134;4479.206107916667;4479.206107916667
135;4448.984902916666;4448.984902916666
136;4477.265633333333;4477.265633333333
137;4464.046720833333;4464.046720833333
138;4489.875486666667;4489.875486666667
139;4458.140029166667;4458.140029166667
140;4487.863982916667;4487.863982916667
141;4469.2642608333335;4469.2642608333335
142;4486.12394;4486.12394
143;4460.834365;4460.834365
144;4466.3531825;4466.3531825
145;4480.122383333333;4480.122383333333
146;4458.924253333334;4458.924253333334
147;4466.06683625;4466.06683625
148;4471.84272875;4471.84272875
149;4453.2442620833335;4453.2442620833335
150;4468.9389675;4468.9389675
151;4463.95501125;4463.95501125
152;4477.32452375;4477.32452375
153;4473.286371249999;4473.286371249999
154;4485.2329362499995;4485.2329362499995
155;4474.607162083334;4474.607162083334
156;4485.6511125;4485.6511125
157;4468.885398750001;4468.885398750001
158;4477.853803333333;4477.853803333333
159;4468.550610416667;4468.550610416667
160;4454.314988749999;4454.314988749999
161;4470.12903;4470.12903
162;4474.823892916666;4474.823892916666
163;4465.3713425000005;4465.3713425000005
164;4479.981225833333;4479.981225833333
165;4456.72385125;4456.72385125
166;4483.6812220833335;4483.6812220833335
167;4462.098725;4462.098725
168;4470.6714087499995;4470.6714087499995
169;4463.89574875;4463.89574875
170;4471.774107499999;4471.774107499999
171;4462.237179583333;4462.237179583333
172;4483.48669125;4483.48669125
173;4460.875761249999;4460.875761249999
174;4463.18847625;4463.18847625
175;4469.591292916666;4469.591292916666
176;4470.4548374999995;4470.4548374999995
177;4466.080354166666;4466.080354166666
178;4485.0312975;4485.0312975
179;4467.698684166667;4467.698684166667
