iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
43;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;;;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;22:49:18;;;22:49:18;22:49:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
44;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;;;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;22:49:19;;;22:49:19;22:49:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
45;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;;;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;22:49:20;;;22:49:20;22:49:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
46;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;;;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;22:49:21;;;22:49:21;22:49:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
47;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;;;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;22:49:22;;;22:49:22;22:49:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
48;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;;;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;22:49:23;;;22:49:23;22:49:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
49;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;;;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;22:49:24;;;22:49:24;22:49:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
50;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:25;22:49:26;22:49:26;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
51;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;;;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;22:49:26;;;22:49:27;22:49:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
52;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;;;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;22:49:27;;;22:49:28;22:49:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
