iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
146;22:51:04;22:51:04;22:51:04;22:51:04;22:51:04;22:51:04;;;22:51:04;22:51:04;22:51:04;22:51:04;22:51:05;22:51:05;22:51:05;22:51:05;22:51:05;22:51:05;;;22:51:05;22:51:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
147;22:51:05;22:51:05;22:51:05;22:51:05;22:51:05;22:51:05;;;22:51:05;22:51:05;22:51:05;22:51:05;22:51:06;22:51:06;22:51:06;22:51:06;22:51:06;22:51:06;;;22:51:06;22:51:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
148;22:51:06;22:51:06;22:51:06;22:51:06;22:51:06;22:51:06;;;22:51:06;22:51:06;22:51:06;22:51:06;22:51:07;22:51:07;22:51:07;22:51:07;22:51:07;22:51:07;;;22:51:07;22:51:07;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
149;22:51:07;22:51:07;22:51:07;22:51:07;22:51:07;22:51:07;;;22:51:07;22:51:07;22:51:07;22:51:07;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;;;22:51:08;22:51:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
150;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:08;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
151;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;22:51:09;;;22:51:09;22:51:09;22:51:09;22:51:09;22:51:10;22:51:10;22:51:10;22:51:10;22:51:10;22:51:10;;;22:51:10;22:51:10;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
152;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;;;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;22:51:11;;;22:51:12;22:51:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
153;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;;;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;22:51:12;;;22:51:13;22:51:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
154;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;;;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;22:51:13;;;22:51:14;22:51:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
155;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;;;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;22:51:14;;;22:51:15;22:51:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
156;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;;;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;22:51:15;;;22:51:16;22:51:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
157;22:51:16;22:51:16;22:51:16;22:51:16;22:51:16;22:51:16;;;22:51:16;22:51:16;22:51:16;22:51:16;22:51:17;22:51:17;22:51:17;22:51:17;22:51:17;22:51:17;;;22:51:17;22:51:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
158;22:51:17;22:51:17;22:51:17;22:51:17;22:51:17;22:51:17;;;22:51:17;22:51:17;22:51:17;22:51:17;22:51:18;22:51:18;22:51:18;22:51:18;22:51:18;22:51:18;;;22:51:18;22:51:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
159;22:51:18;22:51:18;22:51:18;22:51:18;22:51:18;22:51:18;;;22:51:18;22:51:18;22:51:18;22:51:18;22:51:19;22:51:19;22:51:19;22:51:19;22:51:19;22:51:19;;;22:51:19;22:51:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
160;22:51:19;22:51:19;22:51:19;22:51:19;22:51:19;22:51:19;;;22:51:19;22:51:19;22:51:19;22:51:19;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
161;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;22:51:20;;;22:51:20;22:51:20;22:51:20;22:51:20;22:51:21;22:51:21;22:51:21;22:51:21;22:51:21;22:51:21;;;22:51:21;22:51:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
162;22:51:21;22:51:21;22:51:21;22:51:21;22:51:21;22:51:21;;;22:51:21;22:51:21;22:51:21;22:51:21;22:51:22;22:51:22;22:51:22;22:51:22;22:51:22;22:51:22;;;22:51:22;22:51:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
163;22:51:22;22:51:22;22:51:22;22:51:22;22:51:22;22:51:22;;;22:51:22;22:51:22;22:51:22;22:51:22;22:51:23;22:51:23;22:51:23;22:51:23;22:51:23;22:51:23;;;22:51:23;22:51:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
164;22:51:23;22:51:23;22:51:23;22:51:23;22:51:23;22:51:23;;;22:51:23;22:51:23;22:51:23;22:51:23;22:51:24;22:51:24;22:51:24;22:51:24;22:51:24;22:51:24;;;22:51:24;22:51:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
165;22:51:24;22:51:24;22:51:24;22:51:24;22:51:24;22:51:24;;;22:51:24;22:51:24;22:51:24;22:51:24;22:51:25;22:51:25;22:51:25;22:51:25;22:51:25;22:51:25;;;22:51:26;22:51:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
166;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;;;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;22:51:26;;;22:51:27;22:51:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
167;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;;;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;22:51:27;;;22:51:28;22:51:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
168;22:51:28;22:51:28;22:51:28;22:51:28;22:51:28;22:51:28;;;22:51:28;22:51:28;22:51:28;22:51:28;22:51:28;22:51:28;22:51:29;22:51:29;22:51:29;22:51:29;;;22:51:29;22:51:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
169;22:51:29;22:51:29;22:51:29;22:51:29;22:51:29;22:51:29;;;22:51:29;22:51:29;22:51:29;22:51:29;22:51:30;22:51:30;22:51:30;22:51:30;22:51:30;22:51:30;;;22:51:30;22:51:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
170;22:51:30;22:51:30;22:51:30;22:51:30;22:51:30;22:51:30;;;22:51:30;22:51:30;22:51:30;22:51:30;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
171;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;22:51:31;;;22:51:31;22:51:31;22:51:31;22:51:31;22:51:32;22:51:32;22:51:32;22:51:32;22:51:32;22:51:32;;;22:51:32;22:51:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
172;22:51:32;22:51:32;22:51:32;22:51:32;22:51:32;22:51:32;;;22:51:32;22:51:32;22:51:32;22:51:32;22:51:33;22:51:33;22:51:33;22:51:33;22:51:33;22:51:33;;;22:51:33;22:51:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
173;22:51:33;22:51:33;22:51:33;22:51:33;22:51:33;22:51:33;;;22:51:33;22:51:33;22:51:33;22:51:33;22:51:34;22:51:34;22:51:34;22:51:34;22:51:34;22:51:34;;;22:51:34;22:51:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
174;22:51:34;22:51:34;22:51:34;22:51:34;22:51:34;22:51:34;;;22:51:34;22:51:34;22:51:34;22:51:34;22:51:35;22:51:35;22:51:35;22:51:35;22:51:35;22:51:35;;;22:51:35;22:51:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
175;22:51:35;22:51:35;22:51:35;22:51:35;22:51:35;22:51:35;;;22:51:35;22:51:35;22:51:35;22:51:35;22:51:36;22:51:36;22:51:36;22:51:36;22:51:36;22:51:36;;;22:51:36;22:51:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
176;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;;;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;22:51:37;;;22:51:38;22:51:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
177;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;;;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;22:51:38;;;22:51:39;22:51:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
178;22:51:39;22:51:39;22:51:39;22:51:39;22:51:39;22:51:39;;;22:51:39;22:51:39;22:51:39;22:51:39;22:51:40;22:51:40;22:51:40;22:51:40;22:51:40;22:51:40;;;22:51:40;22:51:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
179;22:51:40;22:51:40;22:51:40;22:51:40;22:51:40;22:51:40;;;22:51:40;22:51:40;22:51:40;22:51:40;22:51:41;22:51:41;22:51:41;22:51:41;22:51:41;22:51:41;;;22:51:41;22:51:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
180;22:51:41;22:51:41;22:51:41;22:51:41;22:51:41;22:51:41;;;22:51:41;22:51:41;22:51:41;22:51:41;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
181;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;22:51:42;;;22:51:42;22:51:42;22:51:42;22:51:42;22:51:43;22:51:43;22:51:43;22:51:43;22:51:43;22:51:43;;;22:51:43;22:51:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
182;22:51:43;22:51:43;22:51:43;22:51:43;22:51:43;22:51:43;;;22:51:43;22:51:43;22:51:43;22:51:43;22:51:44;22:51:44;22:51:44;22:51:44;22:51:44;22:51:44;;;22:51:44;22:51:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
183;22:51:44;22:51:44;22:51:44;22:51:44;22:51:44;22:51:44;;;22:51:44;22:51:44;22:51:44;22:51:44;22:51:45;22:51:45;22:51:45;22:51:45;22:51:45;22:51:45;;;22:51:45;22:51:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
184;22:51:45;22:51:45;22:51:45;22:51:45;22:51:45;22:51:45;;;22:51:45;22:51:45;22:51:45;22:51:45;22:51:46;22:51:46;22:51:46;22:51:46;22:51:46;22:51:46;;;22:51:46;22:51:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
185;22:51:46;22:51:46;22:51:46;22:51:46;22:51:46;22:51:46;;;22:51:46;22:51:46;22:51:46;22:51:46;22:51:47;22:51:47;22:51:47;22:51:47;22:51:47;22:51:47;;;22:51:47;22:51:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
186;22:51:47;22:51:47;22:51:47;22:51:47;22:51:47;22:51:47;;;22:51:47;22:51:47;22:51:47;22:51:47;22:51:48;22:51:48;22:51:48;22:51:48;22:51:48;22:51:48;;;22:51:48;22:51:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
187;22:51:48;22:51:48;22:51:48;22:51:48;22:51:48;22:51:48;;;22:51:48;22:51:48;22:51:48;22:51:48;22:51:49;22:51:49;22:51:49;22:51:49;22:51:49;22:51:49;;;22:51:49;22:51:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
188;22:51:49;22:51:49;22:51:49;22:51:49;22:51:49;22:51:49;;;22:51:49;22:51:49;22:51:49;22:51:49;22:51:50;22:51:50;22:51:50;22:51:50;22:51:50;22:51:50;;;22:51:50;22:51:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
189;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;;;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;22:51:51;;;22:51:52;22:51:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
190;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;;;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:52;22:51:53;22:51:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
191;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;;;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;22:51:53;;;22:51:54;22:51:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
192;22:51:54;22:51:54;22:51:54;22:51:54;22:51:54;22:51:54;;;22:51:54;22:51:54;22:51:54;22:51:54;22:51:55;22:51:55;22:51:55;22:51:55;22:51:55;22:51:55;;;22:51:55;22:51:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
193;22:51:55;22:51:55;22:51:55;22:51:55;22:51:55;22:51:55;;;22:51:55;22:51:55;22:51:55;22:51:55;22:51:56;22:51:56;22:51:56;22:51:56;22:51:56;22:51:56;;;22:51:56;22:51:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
194;22:51:56;22:51:56;22:51:56;22:51:56;22:51:56;22:51:56;;;22:51:56;22:51:56;22:51:56;22:51:56;22:51:57;22:51:57;22:51:57;22:51:57;22:51:57;22:51:57;;;22:51:57;22:51:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
195;22:51:57;22:51:57;22:51:57;22:51:57;22:51:57;22:51:57;;;22:51:57;22:51:57;22:51:57;22:51:57;22:51:58;22:51:58;22:51:58;22:51:58;22:51:58;22:51:58;;;22:51:58;22:51:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
196;22:51:58;22:51:58;22:51:58;22:51:58;22:51:58;22:51:58;;;22:51:58;22:51:58;22:51:58;22:51:58;22:51:59;22:51:59;22:51:59;22:51:59;22:51:59;22:51:59;;;22:51:59;22:51:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
197;22:51:59;22:51:59;22:51:59;22:51:59;22:51:59;22:51:59;;;22:51:59;22:51:59;22:51:59;22:51:59;22:52:00;22:52:00;22:52:00;22:52:00;22:52:00;22:52:00;;;22:52:00;22:52:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
198;22:52:00;22:52:00;22:52:00;22:52:00;22:52:00;22:52:00;;;22:52:00;22:52:00;22:52:00;22:52:00;22:52:01;22:52:01;22:52:01;22:52:01;22:52:01;22:52:01;;;22:52:01;22:52:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
199;22:52:01;22:52:01;22:52:01;22:52:01;22:52:01;22:52:01;;;22:52:01;22:52:01;22:52:01;22:52:01;22:52:02;22:52:02;22:52:02;22:52:02;22:52:02;22:52:02;;;22:52:03;22:52:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
200;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:03;22:52:04;22:52:04;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
201;22:52:04;22:52:04;22:52:04;22:52:04;22:52:04;22:52:04;;;22:52:04;22:52:04;22:52:04;22:52:04;22:52:05;22:52:05;22:52:05;22:52:05;22:52:05;22:52:05;;;22:52:05;22:52:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
202;22:52:05;22:52:05;22:52:05;22:52:05;22:52:05;22:52:05;;;22:52:05;22:52:05;22:52:05;22:52:05;22:52:06;22:52:06;22:52:06;22:52:06;22:52:06;22:52:06;;;22:52:06;22:52:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
203;22:52:06;22:52:06;22:52:06;22:52:06;22:52:06;22:52:06;;;22:52:06;22:52:06;22:52:06;22:52:06;22:52:07;22:52:07;22:52:07;22:52:07;22:52:07;22:52:07;;;22:52:07;22:52:07;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
204;22:52:07;22:52:07;22:52:07;22:52:07;22:52:07;22:52:07;;;22:52:07;22:52:07;22:52:07;22:52:07;22:52:08;22:52:08;22:52:08;22:52:08;22:52:08;22:52:08;;;22:52:08;22:52:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
205;22:52:08;22:52:08;22:52:08;22:52:08;22:52:08;22:52:08;;;22:52:08;22:52:08;22:52:08;22:52:08;22:52:09;22:52:09;22:52:09;22:52:09;22:52:09;22:52:09;;;22:52:09;22:52:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
206;22:52:09;22:52:09;22:52:09;22:52:09;22:52:09;22:52:09;;;22:52:09;22:52:09;22:52:09;22:52:09;22:52:10;22:52:10;22:52:10;22:52:10;22:52:10;22:52:10;;;22:52:10;22:52:10;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
207;22:52:10;22:52:10;22:52:10;22:52:10;22:52:10;22:52:10;;;22:52:10;22:52:10;22:52:10;22:52:10;22:52:11;22:52:11;22:52:11;22:52:11;22:52:11;22:52:11;;;22:52:11;22:52:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
208;22:52:11;22:52:11;22:52:11;22:52:11;22:52:11;22:52:11;;;22:52:11;22:52:11;22:52:11;22:52:11;22:52:12;22:52:12;22:52:12;22:52:12;22:52:12;22:52:12;;;22:52:12;22:52:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
209;22:52:12;22:52:12;22:52:12;22:52:12;22:52:12;22:52:12;;;22:52:12;22:52:12;22:52:12;22:52:12;22:52:13;22:52:13;22:52:13;22:52:13;22:52:13;22:52:13;;;22:52:13;22:52:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
210;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;;;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:14;22:52:15;22:52:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
211;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;;;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;22:52:15;;;22:52:16;22:52:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
212;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;;;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;22:52:16;;;22:52:17;22:52:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
213;22:52:17;22:52:17;22:52:17;22:52:17;22:52:17;22:52:17;;;22:52:17;22:52:17;22:52:17;22:52:17;22:52:18;22:52:18;22:52:18;22:52:18;22:52:18;22:52:18;;;22:52:18;22:52:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
214;22:52:18;22:52:18;22:52:18;22:52:18;22:52:18;22:52:18;;;22:52:18;22:52:18;22:52:18;22:52:18;22:52:19;22:52:19;22:52:19;22:52:19;22:52:19;22:52:19;;;22:52:19;22:52:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
215;22:52:19;22:52:19;22:52:19;22:52:19;22:52:19;22:52:19;;;22:52:19;22:52:19;22:52:19;22:52:19;22:52:20;22:52:20;22:52:20;22:52:20;22:52:20;22:52:20;;;22:52:20;22:52:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
216;22:52:20;22:52:20;22:52:20;22:52:20;22:52:20;22:52:20;;;22:52:20;22:52:20;22:52:20;22:52:20;22:52:21;22:52:21;22:52:21;22:52:21;22:52:21;22:52:21;;;22:52:21;22:52:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
217;22:52:21;22:52:21;22:52:21;22:52:21;22:52:21;22:52:21;;;22:52:21;22:52:21;22:52:21;22:52:21;22:52:22;22:52:22;22:52:22;22:52:22;22:52:22;22:52:22;;;22:52:22;22:52:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
218;22:52:22;22:52:22;22:52:22;22:52:22;22:52:22;22:52:22;;;22:52:22;22:52:22;22:52:22;22:52:22;22:52:23;22:52:23;22:52:23;22:52:23;22:52:23;22:52:23;;;22:52:23;22:52:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
219;22:52:23;22:52:23;22:52:23;22:52:23;22:52:23;22:52:23;;;22:52:23;22:52:23;22:52:23;22:52:23;22:52:24;22:52:24;22:52:24;22:52:24;22:52:24;22:52:24;;;22:52:24;22:52:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
220;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;;;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:25;22:52:26;22:52:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
221;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;;;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;22:52:26;;;22:52:27;22:52:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
222;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;;;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;22:52:27;;;22:52:28;22:52:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
223;22:52:28;22:52:28;22:52:28;22:52:28;22:52:28;22:52:28;;;22:52:28;22:52:28;22:52:28;22:52:28;22:52:29;22:52:29;22:52:29;22:52:29;22:52:29;22:52:29;;;22:52:29;22:52:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
224;22:52:29;22:52:29;22:52:29;22:52:29;22:52:29;22:52:29;;;22:52:29;22:52:29;22:52:29;22:52:29;22:52:30;22:52:30;22:52:30;22:52:30;22:52:30;22:52:30;;;22:52:30;22:52:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
